Date,OnlineTime,OfflineTime,Account
10/18/2021,12:35:16,12:35:21,Mine
10/18/2021,12:35:40,12:51:06,Mine
10/18/2021,15:23:25,15:23:26,Mine
10/18/2021,15:41:45,15:41:58,Mine
10/18/2021,19:36:40,19:37:44,Mine
10/18/2021,23:15:59,23:16:24,Mine
10/19/2021,08:47:58,08:49:37,Mine
10/19/2021,10:48:14,10:57:31,Mine
10/19/2021,12:49:24,12:50:00,Mine
10/19/2021,12:53:57,12:54:50,Mine
10/19/2021,17:17:21,17:19:13,Mine
10/19/2021,22:50:40,22:52:09,Mine
10/20/2021,07:27:30,07:27:39,Mine
10/20/2021,07:32:36,07:36:22,Mine
10/20/2021,11:33:30,11:34:27,Mine
10/20/2021,13:35:34,13:38:56,Mine
10/20/2021,13:39:25,13:39:56,Mine
10/20/2021,15:33:01,15:33:16,Mine
10/20/2021,16:05:08,16:16:15,Mine
10/20/2021,16:16:25,16:16:45,Mine
10/20/2021,16:40:53,16:41:15,Mine
10/21/2021,10:07:19,10:10:08,Mine
