Date,OnlineTime,OfflineTime,account
10/17/2021,15:21:15,15:22:10,Chinna
10/17/2021,15:22:14,15:23:16,Chinna
10/17/2021,15:35:51,15:39:33,Chinna
10/17/2021,19:52:04,19:54:03,Mine
10/18/2021,09:27:27,09:30:20,Chinna
10/18/2021,19:18:09,19:28:42,Chinna
10/19/2021,08:56:12,08:59:15,Chinna
10/19/2021,09:04:55,09:05:31,Chinna
10/19/2021,18:28:57,18:31:05,Chinna
10/19/2021,18:32:08,18:37:40,Chinna
10/19/2021,21:31:07,21:35:36,Chinna
10/20/2021,07:11:52,07:13:44,Chinna
10/20/2021,07:20:09,07:24:41,Chinna
10/20/2021,07:34:19,07:36:16,Chinna
10/20/2021,11:27:40,11:30:19,Chinna
10/20/2021,11:30:27,11:34:45,Chinna
10/20/2021,14:31:13,14:32:16,Chinna
10/20/2021,14:57:59,14:59:29,Chinna
10/20/2021,14:59:31,15:00:48,Chinna
10/20/2021,15:58:20,16:01:46,Chinna
10/20/2021,18:25:53,18:26:52,Chinna
10/21/2021,09:15:47,09:16:08,Chinna
10/21/2021,09:16:31,09:17:53,Chinna
